onset	duration	participant_id	Trial	RiskType	TimeType	RewardType	Reward	Shock	Offset	ITI	LeftKey	FixOnset	RiskOnset	RewardOnset	ResponseType	ResponseOnset	ResponseTime	ResponseUncertainty	ResultOnset	ShockOnset
10.5663	12.1499	hc021	1	1	1	2	0.53	0	0	10.5	0	0.038235000000000005	10.5663	11.0876	1	12.1499	1.0623	0.0007001	14.0336	n/a
25.4191	27.6535	hc021	2	2	1	1	0.13	0	1	9.625	0	15.7866	25.4191	25.9292	0	27.6535	1.7243	0.00070597	28.9116	n/a
42.0586	44.0849	hc021	3	2	1	3	0.91	1	0	11.375	1	30.6613	42.0586	42.5698	1	44.0849	1.515	0.00067445	45.5337	46.7714
56.9327	59.4525	hc021	4	3	1	1	0.15	1	1	9.625	1	47.2906	56.9327	57.4382	0	59.4525	2.0142	0.00067078	60.4155	n/a
72.6845	74.7956	hc021	5	1	1	2	0.61	0	1	10.5	0	62.1654	72.6845	73.1844	1	74.7956	1.6112	0.00067371	76.1669	n/a
89.3138	91.4513	hc021	6	3	1	1	0.31	1	0	11.375	0	77.9165	89.3138	89.8137	1	91.4513	1.6377	0.00067665	92.7794	94.0251
105.0613	106.8102	hc021	7	3	1	3	0.79	1	0	10.5	0	94.5458	105.0613	105.5612	1	106.8102	1.249	0.00067445	108.5441	109.7785
120.8097	123.0338	hc021	8	1	1	1	0.1	0	0	10.5	0	110.3107	120.8097	121.3263	1	123.0338	1.7075	0.00067811	124.2925	n/a
135.6916	138.1694	hc021	9	3	1	2	0.58	1	1	9.625	0	126.0425	135.6916	136.2024	1	138.1694	1.9669999999999999	0.00067371	139.1744	140.41
152.3233	154.7926	hc021	10	3	1	2	0.36	1	0	11.375	1	140.9245	152.3233	152.8317	0	154.7926	1.9609	0.00067445	155.8063	n/a
168.0614	169.952	hc021	11	1	1	3	0.82	0	0	10.5	1	157.5561	168.0614	168.5779	1	169.952	1.3741	0.00068104	171.5603	n/a
183.8242	185.7912	hc021	12	3	1	1	0.22	1	0	10.5	1	173.31	183.8242	184.3369	0	185.7912	1.4544	0.00068398	187.3065	n/a
199.5704	201.5108	hc021	13	3	1	3	0.87	0	0	10.5	1	189.0562	199.5704	200.0869	1	201.5108	1.4238	0.00067151	203.0527	n/a
215.3338	217.4943	hc021	14	1	1	2	0.45	0	0	10.5	0	204.8024	215.3338	215.8337	1	217.4943	1.6606	0.00067225	218.8166	n/a
230.199	231.7736	hc021	15	2	1	3	0.7	0	1	9.625	0	220.5666	230.199	230.6988	1	231.7736	1.0748	0.00067151	233.6818	n/a
245.9595	247.9809	hc021	16	1	1	1	0.27	0	1	10.5	1	235.4484	245.9595	246.4641	1	247.9809	1.5168	0.00067151	249.4469	n/a
